Class,Scientific_name,Common_name
birds,Diomedea antipodensis gibsoni,Gibson's albatross
birds,Diomedea epomophora,southern royal albatross
birds,Diomedea exulans,wandering albatross
birds,Phoebetria fusca,sooty albatross
birds,Phoebetria palpebrata,light-mantled sooty albatross
birds,Thalassarche bulleri,Buller's albatross
birds,Thalassarche carteri,Indian yellow-nosed albatross
birds,Thalassarche cauta,shy albatross
birds,Thalassarche chrysostoma,grey-headed albatross
birds,Thalassarche impavida,Campbell albatross
birds,Thalassarche melanophris,black-browed albatross
birds,Thalassarche salvini,Salvin's albatross
birds,Thalassarche steadi,white-capped albatross
birds,Ardenna bulleri,Buller's shearwater
birds,Ardenna carneipes,flesh-footed shearwater
birds,Ardenna grisea,sooty shearwater
birds,Ardenna pacifica,wedge-tailed shearwater
birds,Ardenna tenuirostris,short-tailed shearwater
birds,Bulweria bulwerii,Bulwer's petrel
birds,Calonectris leucomelas,streaked shearwater
birds,Daption capense,cape petrel
birds,Fulmarus glacialoides,southern fulmar
birds,Halobaena caerulea,blue petrel
birds,Lugensa brevirostris,Kerguelen petrel
birds,Macronectes giganteus,southern giant-petrel
birds,Macronectes halli,northern giant-petrel
birds,Pachyptila belcheri,slender-billed prion
birds,Pachyptila desolata,Antarctic prion
birds,Pachyptila salvini,Salvin's prion
birds,Pachyptila turtur,fairy prion
birds,Pachyptila vittata,broad-billed prion
birds,Pelecanoides urinatrix,common diving-petrel
birds,Procellaria aequinoctialis,white-chinned petrel
birds,Procellaria parkinsoni,black petrel
birds,Procellaria westlandica,Westland petrel
birds,Pseudobulweria rostrata,Tahiti petrel
birds,Pterodroma brevipes,collared petrel
birds,Pterodroma cervicalis,white-necked petrel
birds,Pterodroma cookii,Cook's petrel
birds,Pterodroma heraldica,Herald petrel
birds,Pterodroma inexpectata,mottled petrel
birds,Pterodroma lessonii,white-headed petrel
birds,Pterodroma leucoptera caledonica,Gould's petrel (New Caledonian subspecies)
birds,Pterodroma leucoptera leucoptera,Gould's petrel (Australian subspecies)
birds,Pterodroma longirostris,Stejneger's petrel
birds,Pterodroma macroptera,great-winged petrel
birds,Pterodroma mollis,soft-plumaged petrel
birds,Pterodroma neglecta,Kermadec petrel
birds,Pterodroma nigripennis,black-winged petrel
birds,Pterodroma solandri,providence petrel
birds,Puffinus assimilis,little shearwater
birds,Puffinus bailloni,tropical shearwater
birds,Puffinus gavia,fluttering shearwater
birds,Puffinus huttoni,Hutton's shearwater
birds,Eudyptula minor,little penguin
birds,Fregata ariel,lesser frigatebird
birds,Fregata minor,great frigatebird
birds,Morus serrator,Australasian gannet
birds,Sula dactylatra,masked booby
birds,Sula leucogaster,brown booby
birds,Sula sula,red-footed booby
birds,Anhinga novaehollandiae,Australasian darter
birds,Microcarbo melanoleucos,little pied cormorant
birds,Phalacrocorax carbo,great cormorant
birds,Phalacrocorax sulcirostris,little black cormorant
birds,Phalacrocorax varius,pied cormorant
birds,Pelecanus conspicillatus,Australian pelican
birds,Ephippiorhynchus asiaticus,black-necked stork
birds,Ardea alba modesta,eastern great egret
birds,Ardea intermedia,intermediate egret
birds,Ardea pacifica,white-necked heron
birds,Ardea sumatrana,great-billed heron
birds,Botaurus poiciloptilus,Australasian bittern
birds,Bubulcus ibis,cattle egret
birds,Butorides striata,striated heron
birds,Egretta garzetta,little egret
birds,Egretta novaehollandiae,white-faced heron
birds,Egretta picata,pied heron
birds,Egretta sacra,eastern reef egret
birds,Ixobrychus dubius,Australian little bittern
birds,Ixobrychus flavicollis,black bittern
birds,Ixobrychus sinensis,yellow bittern
birds,Nycticorax caledonicus,nankeen night-heron
birds,Platalea flavipes,yellow-billed spoonbill
birds,Platalea regia,royal spoonbill
birds,Plegadis falcinellus,glossy ibis
birds,Threskiornis molucca,Australian white ibis
birds,Threskiornis spinicollis,straw-necked ibis
birds,Accipiter cirrocephalus,collared sparrowhawk
birds,Accipiter fasciatus,brown goshawk
birds,Accipiter novaehollandiae,grey goshawk
birds,Aquila audax,wedge-tailed eagle
birds,Aquila gurneyi,Gurney's eagle
birds,Aviceda subcristata,Pacific baza
birds,Circus approximans,swamp harrier
birds,Circus assimilis,spotted harrier
birds,Elanus axillaris,black-shouldered kite
birds,Elanus scriptus,letter-winged kite
birds,Erythrotriorchis radiatus,red goshawk
birds,Haliaeetus leucogaster,white-bellied sea-eagle
birds,Haliastur indus,brahminy kite
birds,Haliastur sphenurus,whistling kite
birds,Hamirostra melanosternon,black-breasted buzzard
birds,Hieraaetus morphnoides,little eagle
birds,Lophoictinia isura,square-tailed kite
birds,Milvus migrans,black kite
birds,Pandion cristatus,eastern osprey
birds,Falco berigora,brown falcon
birds,Falco cenchroides,nankeen kestrel
birds,Falco hypoleucos,grey falcon
birds,Falco longipennis,Australian hobby
birds,Falco peregrinus,peregrine falcon
birds,Falco subniger,black falcon
birds,Grus antigone,sarus crane
birds,Grus rubicunda,brolga
birds,Amaurornis cinerea,white-browed crake
birds,Amaurornis moluccana,pale-vented bush-hen
birds,Eulabeornis castaneoventris,chestnut rail
birds,Fulica atra,Eurasian coot
birds,Gallinula tenebrosa,dusky moorhen
birds,Gallirallus philippensis,buff-banded rail
birds,Lewinia pectoralis,Lewin's rail
birds,Porphyrio melanotus,purple swamphen
birds,Porzana fluminea,Australian spotted crake
birds,Porzana pusilla,Baillon's crake
birds,Porzana tabuensis,spotless crake
birds,Rallina tricolor,red-necked crake
birds,Tribonyx ventralis,black-tailed native-hen
birds,Ardeotis australis,Australian bustard
birds,Burhinus grallarius,bush stone-curlew
birds,Esacus magnirostris,beach stone-curlew
birds,Haematopus finschi,South Island pied oystercatcher
birds,Haematopus fuliginosus,sooty oystercatcher
birds,Haematopus longirostris,Australian pied oystercatcher
birds,Cladorhynchus leucocephalus,banded stilt
birds,Himantopus himantopus,black-winged stilt
birds,Recurvirostra novaehollandiae,red-necked avocet
birds,Charadrius australis,inland dotterel
